cell,model,selection,n,n_raw_features,prevalence,AP_mean,AP_std,AUC_mean,AUC_std,elapsed_sec,cohort,rung,outcome
cohort_8|+ 8ft|lb_7reg,LR-l1,Block PCA,146,7,0.2054794520547945,0.34107385318505884,0.11465423635850185,0.5649657809983897,0.0945234412812469,4.2,cohort_8,+ 8ft,lb_7reg
cohort_8|+ 8ft|lb_7reg,LR-elasticnet,Block PCA,146,7,0.2054794520547945,0.3374178771795406,0.10629816995134801,0.5684883252818036,0.0896264531627483,3.8,cohort_8,+ 8ft,lb_7reg
cohort_8|+ 8ft|lb_7reg,SVC-RBF,Block PCA,146,7,0.2054794520547945,0.31505314464549167,0.08463680939088025,0.5530797101449275,0.07334916020105992,3.4,cohort_8,+ 8ft,lb_7reg
cohort_8|+ 8ft|lb_7reg,RF,Block PCA,146,7,0.2054794520547945,0.2945822093940827,0.05484400478549845,0.5781904186795491,0.07669392108519234,42.0,cohort_8,+ 8ft,lb_7reg
cohort_8|+ 8ft|lb_7reg,HistGB,Block PCA,146,7,0.2054794520547945,0.3538419025839619,0.11577094898632567,0.6308977455716587,0.11192291798938807,7.1,cohort_8,+ 8ft,lb_7reg
cohort_8|+ 8ft|tdp_st4_bin,LR-l2,Block PCA,146,7,0.5616438356164384,0.6918494344169996,0.07599206693854225,0.612493715434892,0.07402905863237702,2.0,cohort_8,+ 8ft,tdp_st4_bin
cohort_8|+ 8ft|tdp_st4_bin,LR-l1,Block PCA,146,7,0.5616438356164384,0.6856875262602652,0.09080038524903919,0.6103192559074913,0.10061061229003702,2.1,cohort_8,+ 8ft,tdp_st4_bin
cohort_8|+ 8ft|tdp_st4_bin,LR-elasticnet,Block PCA,146,7,0.5616438356164384,0.7049109437544002,0.07977335237957718,0.6229512317747613,0.08628035789528887,2.4,cohort_8,+ 8ft,tdp_st4_bin
cohort_8|+ 8ft|tdp_st4_bin,SVC-RBF,Block PCA,146,7,0.5616438356164384,0.6880455865760149,0.0729553524128748,0.612902212166918,0.08683747271923677,3.1,cohort_8,+ 8ft,tdp_st4_bin
cohort_8|+ 8ft|tdp_st4_bin,RF,Block PCA,146,7,0.5616438356164384,0.6942018866813541,0.08816619089181332,0.6370977878330819,0.09633565812124248,41.9,cohort_8,+ 8ft,tdp_st4_bin
